Chapitre 2 : La fabrique de l’information journalistique;;Cours 1 : Qu’est-ce qu’une information ?;
;"Le choix du sujet : tout commence avec une idée
Souvent, le point de départ est le ou la journaliste. Une observation, une situation repérée sur le terrain, une anecdote entendue dans la rueé Le réel nourrit léinspiration. Car le journalisme, fondamentalement, consiste à raconter le monde tel quéil est. Mais parfois, cette idée vient de léextérieur : une alerte transmise par un lecteur, une proposition déun service de communication ou un communiqué de presse. ";16_9.png;Chapitre 2 : La fabrique de l’information journalistique
;Le travail de collecte : la collecte d’informations en journalisme repose sur des sources spécifiques. Les journalistes s’appuient principalement sur les dépéches d’agences, les interviews d’experts (médecins, chercheurs, experts..), les institutions et les études scientifiques. Ils consultent aussi des sites officiels, les associations et parfois le terrain ou les réseaux sociaux, afin de collecter les informations. ;4_3.png;Chapitre 2 : La fabrique de l’information journalistique
;"Le traitement de l’information : en général, il consiste, selon un angle de traitement préalablement bien défini, à hiérarchiser les nouvelles collectées, du plus important au moins important. On parle de pyramide inversée. Toute information bien traitée doit alors répondre à ces cinq questions : Qui ? Quoi ? Où ? Quand ? Et pourquoi ? 
Il suppose également d’avoir soigneusement vérifié l'exactitude des faits que l’on veut porter à la connaissance du public tout en les contextualisant. ";1_1.png;Chapitre 2 : La fabrique de l’information journalistique
;La diffusion de l’information : en journalisme, l’information est diffusée par le canal d’un média, qui peut étre la presse papier, la radio, la télé, l’internet, les réseaux sociaux. Mais avant, le rédacteur en chef doit donner son accord pour la publication. Le choix du moment de la diffusion varie selon la nature de l’information, du média, et l’opportunité du contexte. ;4_5.png;Chapitre 2 : La fabrique de l’information journalistique
Sources;"https://www.cfpj-ecole.fr/actualites/comment-nait-une-information/,
https://conseilsdejournalistes.com/sante/06-la-collecte-dinformations/, https://blog.ac-versailles.fr/cdidelamare/public/Seance_6_Circuit_de_l_information_Correction.pdf";9_16.png;Chapitre 2 : La fabrique de l’information journalistique
